172.31.1.6,172.31.205.68,DNS,252,Standard query response 0x3e9c A dualstack.5rocks-server-lb-471850758.us-east-1.elb.amazonaws.com A 50.19.228.45 A 54.197.242.45 A 54.243.159.71 A 107.22.183.4 A 54.225.210.58 A 50.19.85.151 A 54.225.155.150 A 54.225.166.227
172.31.1.6,172.31.3.121,DNS,75,Standard query 0x0d71 A cdn.miramax.com
172.31.1.8,172.31.167.58,DNS,160,Standard query response 0xfe78 A code.jquery.com CNAME code.jquery.netdna-cdn.com A 23.111.10.99 A 94.31.29.53 A 23.111.9.31
172.31.1.6,172.31.3.121,DNS,82,Standard query 0x81c7 A e9343.a.akamaiedge.net
208.67.222.222,172.31.3.121,DNS,149,Standard query response 0xfbb4 DS 31.172.in-addr.arpa SOA localhost OPT
172.31.1.8,172.31.167.58,DNS,100,Standard query response 0x2433 A translate.googleapis.com A 66.102.1.239
172.31.129.124,172.31.1.6,DNS,76,Standard query 0x213b A www.blablacar.in
172.31.129.124,172.31.1.6,DNS,84,Standard query 0x521e A www.googletagmanager.com
172.31.129.124,172.31.1.6,DNS,75,Standard query 0xc8f2 A pix.impdesk.com
172.31.129.124,172.31.1.6,DNS,84,Standard query 0x93c1 A www.googleadservices.com
172.31.129.124,172.31.1.6,DNS,80,Standard query 0xf36a A www.irctctourism.com
172.31.129.124,172.31.1.6,DNS,72,Standard query 0x5c63 A u.heatmap.it
172.31.1.6,172.31.3.121,DNS,76,Standard query 0xde0e A www.blablacar.in
172.31.1.6,172.31.3.121,DNS,75,Standard query 0x77f5 A pix.impdesk.com
172.31.1.6,172.31.3.121,DNS,80,Standard query 0xf0a1 A www.irctctourism.com
172.31.1.6,172.31.3.121,DNS,91,Standard query 0xdbf1 A u.heatmap.it.web.cdn.anycast.me
172.31.3.121,172.31.1.6,DNS,393,Standard query response 0xdbf1 A u.heatmap.it.web.cdn.anycast.me CNAME 46-105-202-39.any.cdn.anycast.me A 46.105.202.39 NS ns.nic.me NS c0.cctld.afilias-nst.info NS ns2.nic.me NS a2.me.afilias-nst.info NS a0.cctld.afilias-nst.info NS d0.cctld.afilias-nst.org NS b0.cctld.afilias-nst.org NS b2.me.afilias-nst.org A 199.254.59.1 A 199.254.60.1 A 199.254.61.1 A 199.254.62.1
172.31.3.121,172.31.1.6,DNS,315,Standard query response 0x77f5 A pix.impdesk.com A 107.178.255.114 NS b.gtld-servers.net NS m.gtld-servers.net NS j.gtld-servers.net NS k.gtld-servers.net NS i.gtld-servers.net NS c.gtld-servers.net NS h.gtld-servers.net NS d.gtld-servers.net NS e.gtld-servers.net NS f.gtld-servers.net NS g.gtld-servers.net NS l.gtld-servers.net NS a.gtld-servers.net
172.31.3.121,172.31.1.6,DNS,320,Standard query response 0xf0a1 A www.irctctourism.com A 202.93.154.60 NS c.gtld-servers.net NS l.gtld-servers.net NS i.gtld-servers.net NS e.gtld-servers.net NS a.gtld-servers.net NS g.gtld-servers.net NS j.gtld-servers.net NS k.gtld-servers.net NS h.gtld-servers.net NS d.gtld-servers.net NS b.gtld-servers.net NS m.gtld-servers.net NS f.gtld-servers.net
172.31.3.121,172.31.1.6,DNS,398,Standard query response 0xde0e A www.blablacar.in CNAME geo-web.bbccd.net CNAME eur-web.bbccd.net A 185.71.188.50 A 185.71.188.49 A 185.71.188.48 NS f.gtld-servers.net NS c.gtld-servers.net NS d.gtld-servers.net NS b.gtld-servers.net NS g.gtld-servers.net NS k.gtld-servers.net NS m.gtld-servers.net NS h.gtld-servers.net NS j.gtld-servers.net NS l.gtld-servers.net NS a.gtld-servers.net NS e.gtld-servers.net NS i.gtld-servers.net
