172.31.126.64,172.31.1.6,DNS,73,Standard query 0x2527 A gg.google.com
172.31.1.6,172.31.3.121,DNS,73,Standard query 0xa25f A gg.google.com
172.31.105.54,172.31.1.6,DNS,78,Standard query 0x0a02 A graph.facebook.com
208.67.220.123,172.31.3.121,DNS,155,Standard query response 0xa7e5 No such name DS ydqmmdaab SOA a.root-servers.net OPT
4.2.2.2,172.31.3.121,DNS,255,Standard query response 0x317f A events-endpoint-d-1130254936.us-east-1.elb.amazonaws.com A 54.221.234.215 A 54.204.11.88 A 54.221.218.255 A 54.225.107.250 A 54.221.254.2 A 54.221.235.127 A 54.197.253.42 A 54.163.252.168 OPT
172.31.3.121,172.31.1.6,DNS,468,Standard query response 0xedf9 A events-endpoint-d-1130254936.us-east-1.elb.amazonaws.com A 54.225.107.250 A 54.163.252.168 A 54.221.254.2 A 54.204.11.88 A 54.221.218.255 A 54.197.253.42 A 54.221.235.127 A 54.221.234.215 NS j.gtld-servers.net NS m.gtld-servers.net NS i.gtld-servers.net NS h.gtld-servers.net NS f.gtld-servers.net NS b.gtld-servers.net NS k.gtld-servers.net NS e.gtld-servers.net NS a.gtld-servers.net NS d.gtld-servers.net NS c.gtld-servers.net NS g.gtld-servers.net NS l.gtld-servers.net
172.31.1.6,172.31.139.85,DNS,272,Standard query response 0x524b A e.crashlytics.com CNAME events-endpoint-d-1130254936.us-east-1.elb.amazonaws.com A 54.225.107.250 A 54.163.252.168 A 54.221.254.2 A 54.204.11.88 A 54.221.218.255 A 54.197.253.42 A 54.221.235.127 A 54.221.234.215
172.31.1.6,172.31.139.212,DNS,272,Standard query response 0xf1d5 A e.crashlytics.com CNAME events-endpoint-d-1130254936.us-east-1.elb.amazonaws.com A 54.225.107.250 A 54.163.252.168 A 54.221.254.2 A 54.204.11.88 A 54.221.218.255 A 54.197.253.42 A 54.221.235.127 A 54.221.234.215
4.2.2.2,172.31.3.121,DNS,111,Standard query response 0xf5d7 A datasaver.googleapis.com A 74.125.200.239 OPT
172.31.129.55,172.31.1.6,DNS,76,Standard query 0x203e A su2.ff.avast.com
208.67.220.123,172.31.3.121,DNS,163,Standard query response 0xe145 DS doubleverify.com SOA a.gtld-servers.net OPT
172.31.124.178,172.31.1.6,DNS,89,Standard query 0xcce7 A fbcdn-photos-a-a.akamaihd.net
208.67.220.123,172.31.3.121,DNS,135,Standard query response 0xd6c3 DS adingo.jp SOA z.dns.jp OPT
4.2.2.2,172.31.3.121,DNS,111,Standard query response 0xa2cf A translate.googleapis.com A 74.125.130.239 OPT
4.2.2.2,172.31.3.121,DNS,105,Standard query response 0x917d A five21.aheegfe.com A 195.22.26.248 OPT
172.31.3.121,172.31.1.6,DNS,318,Standard query response 0x6b1a A five21.aheegfe.com A 195.22.26.248 NS i.gtld-servers.net NS l.gtld-servers.net NS b.gtld-servers.net NS g.gtld-servers.net NS f.gtld-servers.net NS c.gtld-servers.net NS h.gtld-servers.net NS m.gtld-servers.net NS d.gtld-servers.net NS a.gtld-servers.net NS k.gtld-servers.net NS e.gtld-servers.net NS j.gtld-servers.net
172.31.1.6,172.31.170.77,DNS,94,Standard query response 0x3df0 A five21.aheegfe.com A 195.22.26.248
172.31.1.6,172.31.170.77,DNS,94,Standard query response 0x3df0 A five21.aheegfe.com A 195.22.26.248
208.67.222.222,172.31.3.121,DNS,148,Standard query response 0xfb2f NS 0.0.8.e.f.ip6.arpa SOA localhost OPT
4.2.2.2,172.31.3.121,DNS,109,Standard query response 0xe52e A e8239.a.akamaiedge.net A 104.82.213.51 OPT
172.31.3.121,172.31.1.6,DNS,367,Standard query response 0x0e89 A read-api.newsinshorts.com.edgekey.net CNAME e8239.a.akamaiedge.net A 104.82.213.51 NS h.gtld-servers.net NS f.gtld-servers.net NS m.gtld-servers.net NS c.gtld-servers.net NS j.gtld-servers.net NS e.gtld-servers.net NS d.gtld-servers.net NS k.gtld-servers.net NS g.gtld-servers.net NS a.gtld-servers.net NS i.gtld-servers.net NS b.gtld-servers.net NS l.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,82,Standard query 0x4f28 A e8239.a.akamaiedge.net
172.31.3.121,172.31.1.6,DNS,319,Standard query response 0x4f28 A e8239.a.akamaiedge.net A 104.82.213.51 NS d.gtld-servers.net NS e.gtld-servers.net NS k.gtld-servers.net NS l.gtld-servers.net NS a.gtld-servers.net NS m.gtld-servers.net NS f.gtld-servers.net NS i.gtld-servers.net NS j.gtld-servers.net NS c.gtld-servers.net NS h.gtld-servers.net NS g.gtld-servers.net NS b.gtld-servers.net
172.31.121.98,172.31.1.6,DNS,85,Standard query 0x8221 A init-p01st.push.apple.com
172.31.121.98,172.31.1.6,DNS,77,Standard query 0xf57b A guzzoni.apple.com
172.31.121.98,172.31.1.6,DNS,69,Standard query 0xda04 A apple.com
172.31.146.34,172.31.1.6,DNS,78,Standard query 0x42a4 A graph.facebook.com
172.31.108.187,172.31.1.6,DNS,107,Standard query 0xee6d A p34-bookmarks-current.edge.icloud.apple-dns.net
172.31.1.6,172.31.3.121,DNS,71,Standard query 0xdc5a A busibud.com
4.2.2.2,172.31.3.121,DNS,331,Standard query response 0xe9dd A i-29.b-41372.ut.bench.utorrent.com CNAME bench.utp.st CNAME com-utorrent-prod-bench-290894750.us-east-1.elb.amazonaws.com A 23.21.92.252 A 23.23.215.82 A 54.225.194.96 A 174.129.255.167 A 107.22.221.32 A 23.21.139.158 A 107.20.217.71 A 23.21.43.186 OPT
172.31.1.6,172.31.3.121,DNS,89,Standard query 0xb7c3 A webserve-www.dynamicyield.com
172.31.148.27,172.31.1.6,DNS,80,Standard query 0x3d29 A platform.twitter.com
119.81.212.83,172.31.165.118,TCP,66,"53  >  51506 [SYN, ACK] Seq=0 Ack=1 Win=2920 Len=0 MSS=1412 SACK_PERM=1 WS=8192"
172.31.1.6,172.31.3.121,DNS,80,Standard query 0x5287 A platform.twitter.com
172.31.1.6,172.31.137.17,DNS,107,Standard query response 0xa503 A pixel.tapad.com A 52.76.90.206 A 54.254.140.134
172.31.1.6,172.31.138.114,DNS,115,Standard query response 0xe9e1 AAAA star-mini.c10r.facebook.com AAAA 2a03:2880:f00c:1e:face:b00c:0:25de
172.31.1.6,172.31.3.121,DNS,82,Standard query 0x03c6 A e673.e9.akamaiedge.net
172.31.1.8,172.31.167.10,DNS,86,Standard query response 0xf119 A google.com A 172.217.2.46
172.31.1.6,172.31.139.212,DNS,135,Standard query response 0xb52c A pasta.esfile.duapps.com CNAME shoujiweishi.n.shifen.com A 112.80.248.60
172.31.122.36,172.31.1.6,DNS,76,Standard query 0x5123 A www.facebook.com
172.31.122.36,172.31.1.6,DNS,76,Standard query 0xf2f4 A www.facebook.com
